Name,Drivers_license,Email,Phone_number,Credit_card_insurance,Start_date,End_date,License_plate,Types,Price,Extras,Payment_type,Booking_status
Anna Einarsdóttir,685749302,annacool@gmail.com,8980032,4543843343242342,2/3/2018,5/3/2018,OFD73,A,$42000,Car seat,Debit card,New
Sigga Guðmundsdóttir,173648574,siggacool@gmail.com,4324322,4232234234788764,10/10/2018,15/10/2018,KSA55,B,$3000,Kasko insurance,Cash,Cancelled
Sara Brynjólfsdóttir,985847367,sarabinnacool@hotmail.com,4342321,76545423454565425435,10/11/2018,15/11/2018,UEI44,C,$20500,,Billing to,Cancelled
Arna Olafsdottir,384750978,arnacool@yahoo.com,8204323,3242342209877655,8/7/2018,30/7/2018,ILL32,C,$22000,Car seat,cash,Cancelled
Margrét Ágústsdóttir,273648576,maggacool@aol.com,4334321,0904323223436567,8/6/2018,22/06/2018,SKO32,A,$504000,Car seat,Credit card,Cancelled
Hong Madill,655251080,hutton@hotmail.com,6197487913,2350522538411831,5/4/2018,20/4/2018,IR596,A,$34000,Kasko insurance,Cash,New
Robbyn Ruch,938687262,burns@icloud.com,9915675905,6029330865238971,9/8/2017,5/9/2017,OK938,B,$130140,Kasko insurance,Cash,New
Name,Drivers_license,Email,Phone_number,Credit_card_insurance,Start_date,End_date,License_plate,Types,Price,Extras,Payment_type,Booking_status
Anna Valdís Einarsdóttir,123436,annacool@gmail.com,898-0032,4543843343242342,2/3/2018,5/3/2018,OFD73,A,$4000,car seat,debit card,New
Sigga Herdís Guðmundsdóttir,123244,siggacool@gmail.com,432-4322,4232234234788764,10/10/2018,15/10/2018,KSA55,B,$3000,kasko insurance,cash,Cancelled
Sara Brynjólfsdóttir,234245,sarabinnacool@hotmail.com,434-2321,76545423454565425435,10/11/2018,15/11/2018,UEI44,C,$2000,,billing to,Cancelled
Arna Olafsdottir,456765,arnacool@yahoo.com,820-4323,3242342209877655,8/7/2018,30/7/2018,ILL32,C,$2000,car seat,cash,Cancelled
Margrét Ágústsdóttir,685453,maggacool@aol.com,433-4321,0904323223436567,8/6/2018,22/06/2018,SKO32,A,$4000,car seat,credit card,Cancelled
Jon Jonson,123123123,@,34,1111111111111111,9/9/2000,11/09/2000,MFE00,A,$8102,Kasko insurance & child seat,Cash,New
